timestamp_turkey,signal_candle_time_turkey,symbol,technical_signal,final_signal,block_reason,strength,price,entry,tp,sl,rsi_15m,macd_hist_15m,adx_15m,volume_ratio_15m,recent_move_percent,atr_percent,distance_from_ema20,ema50_15m,ema200_15m,ema50_1h,ema200_1h,rsi_1h,spread_percent,news_risk,news_summary,telegram_sent,duplicate_suppressed
2026-05-14 00:56:09 TR,2026-05-14 00:30:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,79481.98,,,,44.5549,23.940376,27.2416,0.4032,0.2688,0.202505,0.098301,79842.1039,80500.2235,80521.7348,80539.3225,40.6217,1.3e-05,MEDIUM,خبر مهم اقتصادی در ۲۴ ساعت آینده وجود دارد؛ ریسک سیگنال بالاتر است.,no,no
2026-05-14 11:10:53 TR,2026-05-14 10:45:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,79747.06,,,,54.5443,23.717766,18.9474,0.9663,0.0049,0.201894,0.09675,79633.2382,80263.3446,80164.8405,80416.8245,48.0845,1.3e-05,MEDIUM,خبر مهم اقتصادی در ۲۴ ساعت آینده وجود دارد؛ ریسک سیگنال بالاتر است.,no,no
2026-05-14 19:22:23 TR,2026-05-14 19:00:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,81552.37,,,,83.7281,165.857297,36.4077,2.6757,0.6843,0.321055,1.40189,80006.4425,80144.1109,80132.8497,80471.4275,67.9377,1.2e-05,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-15 00:00:12 TR,2026-05-14 23:45:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,81403.09,,,,56.9396,-100.763895,18.7998,0.2993,0.0671,0.300197,0.111983,80808.3267,80362.0342,80395.1172,80457.0822,64.0726,1.2e-05,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-15 03:14:10 TR,2026-05-15 02:45:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,81089.94,,,,43.2492,-67.932067,14.9267,1.5835,0.1995,0.230774,0.296581,81017.2015,80460.7624,80498.3498,80578.7592,57.506,1.2e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-15 13:02:52 TR,2026-05-15 12:45:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,80488.98,,,,40.6245,-3.399952,27.6502,0.7218,0.101,0.230071,0.234215,80829.751,80603.0582,80607.8831,80631.5156,46.4375,1.2e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-15 19:30:20 TR,2026-05-15 19:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,79313.99,,,,38.9036,6.631519,50.0016,0.4437,0.2801,0.319368,0.316381,80094.7486,80449.8401,80425.5302,80624.519,35.2591,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-15 23:46:12 TR,2026-05-15 23:30:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,79087.6,,,,36.294,22.027998,44.0495,0.4711,0.0799,0.213975,0.236055,79670.7048,80257.3772,80258.8577,80583.6004,36.9062,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-16 03:06:48 TR,2026-05-16 02:45:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,79117.92,,,,43.4373,26.417654,40.0498,2.5131,0.0115,0.144974,0.044965,79442.3329,80136.1458,80084.7693,80566.4118,37.8253,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-16 10:32:59 TR,2026-05-16 10:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,78466.64,,,,28.898,-66.25256,50.1554,3.2064,0.3548,0.204016,0.509435,79096.8901,79707.2413,79824.8231,80428.5936,30.947,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-16 14:32:16 TR,2026-05-16 14:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,78137.41,,,,40.336,6.492342,64.0206,0.447,0.3146,0.221807,0.159158,78649.9044,79484.0094,79586.3183,80363.4592,23.9138,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-16 18:36:28 TR,2026-05-16 18:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,78127.6,,,,48.8858,47.511396,42.9389,0.4566,0.1221,0.194216,0.03765,78365.2543,79281.6489,79360.736,80282.2615,30.959,0.000601,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-16 21:42:41 TR,2026-05-16 21:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,78199.96,,,,50.1586,13.355538,21.8095,0.5709,0.0933,0.148981,0.01211,78314.4742,79146.1588,79231.3943,80263.0576,33.9928,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-17 00:35:36 TR,2026-05-17 00:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,78270.08,,,,53.0452,1.405051,13.5253,0.5092,0.0611,0.109062,0.035528,78295.1209,79082.6969,79119.6227,80221.7387,35.5467,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-17 10:41:41 TR,2026-05-17 10:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,78116.56,,,,51.6384,2.963134,17.5111,0.6348,0.0958,0.124766,0.027288,78126.0132,78882.1631,78767.4637,79947.2917,41.482,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-17 14:41:16 TR,2026-05-17 14:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,78345.9,,,,57.9832,22.426346,24.8888,0.7647,0.1719,0.12953,0.109627,78193.9384,78785.1405,78690.808,79862.3219,55.0452,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-17 18:41:05 TR,2026-05-17 18:15:00 TR,BTCUSDT,SHORT,SHORT,-,Strong,77985.16,78031.65,77251.3335,78499.8399,35.5373,-44.207694,25.6582,0.9507,0.0283,0.154475,0.255054,78199.6372,78700.8354,78626.0335,79826.2672,41.499,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,yes,no
2026-05-17 22:49:09 TR,2026-05-17 22:30:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,78381.31,,,,64.073,37.583906,19.5421,1.0426,0.1513,0.145352,0.273055,78168.759,78538.4944,78550.024,79710.8226,50.4649,1.3e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
